         788351 function calls (782314 primitive calls) in 19.808 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.006    0.006 /home/pi/Lightshow/git/rgb_matrix_lib/text_renderer.py:1(<module>)
     5149    0.006    0.000    0.006    0.000 {built-in method builtins.getattr}
      349    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap>:216(_lock_unlock_module)
        1    0.000    0.000    0.006    0.006 /usr/lib/python3.11/ctypes/__init__.py:1(<module>)
      586    0.004    0.000    0.006    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
     7142    0.006    0.000    0.006    0.000 {method 'split' of 'str' objects}
     1083    0.003    0.000    0.006    0.000 /usr/lib/python3.11/threading.py:359(notify)
        1    0.000    0.000    0.006    0.006 /usr/lib/python3.11/subprocess.py:1(<module>)
        1    0.000    0.000    0.006    0.006 /usr/lib/python3/dist-packages/numpy/core/numerictypes.py:1(<module>)
        1    0.000    0.000    0.006    0.006 /usr/lib/python3.11/textwrap.py:1(<module>)
  136/124    0.000    0.000    0.006    0.000 /usr/lib/python3.11/typing.py:338(inner)
        1    0.000    0.000    0.006    0.006 /usr/lib/python3.11/pickle.py:1(<module>)
    14892    0.006    0.000    0.006    0.000 {method 'lower' of 'str' objects}
        1    0.000    0.000    0.006    0.006 /usr/lib/python3/dist-packages/PIL/ExifTags.py:20(Base)
        1    0.000    0.000    0.005    0.005 /home/pi/Lightshow/git/rgb_matrix_lib/fonts.py:1(<module>)
      409    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1421(_path_importer_cache)
     2223    0.003    0.000    0.005    0.000 /usr/lib/python3.11/re/_parser.py:252(get)
     1811    0.004    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:128(<listcomp>)
        1    0.000    0.000    0.005    0.005 /usr/lib/python3.11/textwrap.py:17(TextWrapper)
        7    0.002    0.000    0.005    0.001 /usr/lib/python3.11/enum.py:1646(convert_class)
      614    0.004    0.000    0.005    0.000 /usr/lib/python3/dist-packages/numpy/compat/_inspect.py:65(getargs)
16819/16478    0.004    0.000    0.005    0.000 {built-in method builtins.len}
      332    0.003    0.000    0.005    0.000 /usr/lib/python3.11/functools.py:35(update_wrapper)
        1    0.000    0.000    0.005    0.005 /home/pi/Lightshow/git/pixil_utils/math_functions.py:1(<module>)
        1    0.000    0.000    0.005    0.005 /usr/lib/python3.11/queue.py:1(<module>)
     8086    0.005    0.000    0.005    0.000 {method 'endswith' of 'str' objects}
        1    0.000    0.000    0.005    0.005 /usr/lib/python3/dist-packages/numpy/lib/npyio.py:1(<module>)
      397    0.004    0.000    0.004    0.000 {method 'format' of 'str' objects}
       19    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1408(_path_hooks)
        1    0.000    0.000    0.004    0.004 /usr/lib/python3.11/gettext.py:1(<module>)
        1    0.000    0.000    0.004    0.004 /usr/lib/python3.11/ipaddress.py:1(<module>)
        1    0.000    0.000    0.004    0.004 /home/pi/Lightshow/git/rgb_matrix_lib/bitmap_font.py:1(<module>)
        7    0.001    0.000    0.004    0.001 /usr/lib/python3.11/enum.py:913(<listcomp>)
      196    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1599(_get_spec)
        1    0.000    0.000    0.004    0.004 /usr/lib/python3/dist-packages/numpy/core/getlimits.py:158(_register_known_types)
        1    0.004    0.004    0.004    0.004 /home/pi/Lightshow/git/rgb_matrix_lib/bitmap_font.py:8(BitmapFontManager)
       14    0.000    0.000    0.004    0.000 /usr/lib/python3/dist-packages/numpy/ma/core.py:115(doc_note)
    15226    0.004    0.000    0.004    0.000 {method 'append' of 'list' objects}
